start_dt,type,formula,best_set_reps_num,total,notes,
2023-03-12 21:30:00,dips,5*20 + 1*30,30,130,,
2023-03-14 13:30:00,pull_ups,5*10 + 1*15 ,15,65,,
2023-03-16 13:30:00,dips,5*20 + 1*30,30,130,,
2023-03-19 22:00:00,pull_ups,5*10 + 1*15,15,65,+stretch,
2023-03-21 13:30:00,dips,5*20 + 2*30,30,160,,
2023-03-23 13:30:00,pull_ups,5*10 + 1*15,15,65,,
2023-03-26 22:00:00,dips,5*20 + 2*30,30,160,+stretch,
2023-03-29 22:00:00,pull_ups,5*10 + 2*15,15,80,,
2023-04-02 22:00:00,dips,5*20 + 2*30,30,160,+stretch,
2023-04-04 17:00:00,pull_ups,5*10 + 2*15,15,80,,
2023-04-06 14:00:00,dips,5*20 + 2*30,30,160,+stretch,
2023-04-11 14:00:00,pull_ups,5*10 + 1*15 + 1*20,20,85,+stretch,
2023-04-13 14:00:00,dips,5*20,20,100,+stretch,
2023-04-16 21:00:00,pull_ups,5*10 + 3*15,15,95,+stretch,
2023-04-18 14:30:00,dips,6*20 + 2*30,30,180,+stretch,
2023-04-21 21:30:00,pull_ups,9*10,10,90,+stretch,
2023-04-23 21:30:00,dips,8*20 + 1*30,30,190,,
2023-04-27 21:30:00,pull_ups,6*10 + 1*15,30,75,+stretch,
2023-04-30 21:30:00,dips,5*20 + 1*30 + 1*35,35,165,+stretch,
2023-05-02 16:30:00,pull_ups,5*10 + 2*15 + 1*10,15,90,+stretch,
2023-05-04 14:30:00,dips,5*20 + 2*30,30,160,+stretch,
2023-05-08 21:30:00,pull_ups,5*10 + 1*15 + 1*20,20,85,+stretch,
2023-05-09 14:30:00,dips,5*20 + 2*30,30,160,+stretch,
2023-05-11 14:30:00,pull_ups,5*10 + 1*15 + 1*20,20,85,+stretch,
2023-05-16 14:30:00,dips,5*20 + 2*30,30,160,+stretch,
2023-05-21 22:00:00,pull_ups,7*10 + 1*20,20,90,+stretch,
2023-05-23 16:00:00,dips,5*20 + 3*30,30,190,+stretch,
2023-05-25 16:00:00,pull_ups,5*10 + 2*15,15,80,+stretch,
2023-05-28 22:00:00,dips,5*20 + 1*30 + 1*35,35,165,+stretch,
2023-05-30 22:00:00,pull_ups,5*10 + 1*20 + 1*10,20,80,+stretch,
2023-06-05 22:00:00,dips,4*20 + 1*30 + 1*40,40,150,,
2023-06-13 19:00:00,pull_ups,5*10 + 1*20,20,70,,
2023-06-15 23:30:00,dips,5*20 + 1*35,35,135,+stretch,
2023-06-18 14:30:00,pull_ups,6*10 + 1*15,15,75,+stretch,
2023-06-20 23:00:00,dips,5*20 + 2*30,30,160,+stretch,
2023-06-22 23:00:00,pull_ups,5*10 + 1*15,15,65,+stretch,
2023-06-25 23:00:00,dips,5*20 + 2*30,30,160,,
2023-06-27 23:00:00,pull_ups,5*10 + 1*15 + 1*17,17,82,,
2023-06-29 23:00:00,dips,5*20 + 2*30,30,160,+stretch,
2023-07-04 23:00:00,pull_ups,1*15 + 5*10,15,65,+stretch,
2023-07-07 23:00:00,dips,5*20 + 2*30,30,160,+stretch,
2023-07-09 23:00:00,pull_ups,5*10 + 1*15 + 1*20,20,85,+stretch,
2023-07-16 23:00:00,pull_ups,5*10 + 2*15 + 1*10,15,90,+stretch,
2023-07-18 23:00:00,dips,5*20 + 2*30,30,160,+stretch,
2023-07-20 23:00:00,pull_ups,5*10 + 2*15 + 1*10,15,90,+stretch,
2023-07-24 23:00:00,dips,5*20 + 2*30,30,160,+stretch,
2023-07-25 23:00:00,pull_ups,5*10 + 2*15 + 2*10,15,100,+stretch,
2023-07-27 23:00:00,dips,5*20 + 2*30 + 1*40,40,200,,
2023-07-30 23:00:00,pull_ups,5*10 + 2*15 + 1*10,15,90,+stretch,
2023-08-05 23:00:00,pull_ups,5*10 + 1*15,15,65,,
2023-08-06 23:00:00,dips,5*20 + 2*30 ,30,160,,
2023-08-12 23:00:00,pull_ups,5*10,10,50,+stretch,
2023-08-15 23:00:00,pull_ups,7*10,10,70,+ 6 muscle ups,
2023-08-20 23:00:00,pull_ups,8*10 + 1*15,15,95,variations,
2023-08-22 23:00:00,pull_ups,4*10 + 2*15 + 1*10,15,80,,
2023-08-27 23:00:00,pull_ups,1*15 + 6*10 + 1*15,15,90,variations,
2023-08-29 23:00:00,pull_ups,8*10,10,80,variations,
2023-09-09 23:00:00,pull_ups,5*10 + 2*15 + 1*10,15,90,,
2023-09-12 23:00:00,pull_ups,5*10 + 2*15,15,80,,
2023-09-17 23:00:00,dips,6*20,20,120,,
2023-09-26 23:00:00,pull_ups,5*10 + 2*15,15,80,,
2023-10-01 23:00:00,pull_ups,6*10 + 1*20,20,80,,
2023-10-03 23:00:00,pull_ups,6*10 + 1*15,15,75,,
2023-10-06 23:00:00,pull_ups,7*10 + 1*15 + 1*10,15,95,variations,
2023-10-14 23:00:00,dips,5*20 + 1*30 + 1*35,35,165,,
2023-10-16 23:00:00,pull_ups,5*10 + 2*15,15,80,,
2023-10-19 23:00:00,dips,5*20 + 2*30,30,160,,
2023-10-23 23:00:00,pull_ups,5*10 + 2*15,15,80,,
2023-10-24 23:00:00,dips,5*20 + 2*30,30,160,,
2023-11-12 17:00:00,pull_ups,6*10,10,60,,
2023-11-26 17:00:00,pull_ups,7*10,10,70,,
2023-12-03 20:00:00,pull_ups,5*10 + 1*20,20,70,,
2023-12-05 22:30:00,dips,5*20 + 2*30,30,160,,
2023-12-09 22:30:00,pull_ups,5*10 + 2*15 + 1*10,15,90,,
2023-12-12 22:30:00,pull_ups,5*10 + 2*15,15,80,,
2023-12-18 22:30:00,pull_ups,5*10 + 3*15,15,95,,
2023-12-23 22:30:00,pull_ups,5*10,10,50,,
2023-12-26 22:30:00,pull_ups,5*10 + 1*15 + 1*10 + 1*15,15,90,,
2023-12-28 22:30:00,pull_ups,2*10 + 2*15 + 3*10,15,80,,
2023-12-30 22:30:00,pull_ups,3*10 + 2*15 + 2*10,15,80,,
2024-01-07 22:30:00,pull_ups,7*10,10,70,,
2024-01-17 22:30:00,pull_ups,5*10 + 1*15,15,65,,
2024-01-18 22:30:00,dips,4*20 + 1*30,30,110,,
2024-01-20 22:30:00,pull_ups,4*10 + 2*15,15,70,,
2024-01-22 22:30:00,dips,4*20 + 2*30,30,140,,
2024-01-24 22:30:00,pull_ups,5*10 + 2*15,15,80,,
2024-01-25 22:30:00,dips,5*20 + 2*30,30,160,,
2024-01-26 22:30:00,pull_ups,5*10 + 2*15,15,80,,
2024-01-27 22:30:00,dips,5*20 + 2*30,30,160,,
2024-01-29 22:30:00,pull_ups,5*10 + 2*20,20,90,,
2024-01-30 22:30:00,dips,5*20 + 2*35,35,170,,
2024-02-01 22:30:00,pull_ups,5*10 + 2*15,15,80,,
2024-02-03 22:30:00,dips,5*20 + 3*30,30,190,,
2024-02-04 22:30:00,pull_ups,5*10 + 3*15,15,95,,
2024-02-05 22:30:00,dips,5*20 + 2*30,30,160,,
2024-02-07 22:30:00,pull_ups,5*10 + 2*15,15,80,,
2024-02-09 22:30:00,dips,5*20 + 2*30,30,160,,
2024-02-11 22:30:00,pull_ups,5*10 + 2*15,15,80,,
2024-02-12 22:30:00,dips,5*20 + 2*30,30,160,,
2024-02-14 22:30:00,pull_ups,5*10 + 2*20,20,90,,
2024-02-19 22:30:00,dips,5*20 + 2*30,30,160,,
2024-02-20 22:30:00,pull_ups,5*10 + 2*15,15,80,,
2024-02-22 22:30:00,dips,5*20 + 2*30,30,160,,
2024-02-25 22:30:00,pull_ups,3*10 + 2*15 + 2*10,15,80,,
2024-02-26 22:30:00,dips,5*20 + 2*30,30,160,,
2024-02-28 22:30:00,pull_ups,5*10 + 2*15,15,80,,
2024-03-01 22:30:00,dips,5*20 + 2*30,30,160,,
2024-03-03 22:30:00,pull_ups,5*10 + 3*15,15,95,,
2024-03-06 22:30:00,dips,5*20 + 3*30,30,190,,
2024-03-07 22:30:00,pull_ups,5*10 + 2*15 + 2*10,15,100,,
2024-03-10 22:30:00,dips,5*20 + 3*30,30,190,,
2024-03-11 22:30:00,pull_ups,5*10 + 1*15 + 1*20,20,85,,
2024-03-12 22:30:00,dips,5*20 + 2*30,30,160,,
2024-03-13 16:30:00,pull_ups,5*10 + 2*20,20,90,,
2024-03-14 16:30:00,dips,5*20 + 2*35,35,170,,
2024-03-15 16:30:00,pull_ups,5*10 + 2*15,15,80,,
2024-03-17 16:30:00,dips,5*20 + 2*35,35,170,,
2024-03-19 16:30:00,pull_ups,5*10 + 3*15,15,95,,
2024-03-20 16:30:00,dips,5*20 + 2*35,35,170,,
2024-03-22 16:30:00,pull_ups,5*10 + 2*20,20,90,,
2024-03-26 16:30:00,dips,5*20 + 3*30,30,190,,
2024-03-27 16:30:00,pull_ups,5*10 + 3*15,15,95,,
2024-04-05 16:30:00,dips,5*20,20,100,illness,
2024-04-06 16:30:00,pull_ups,5*10,10,50,,
2024-04-07 16:30:00,dips,7*20,20,140,,
2024-04-08 16:30:00,pull_ups,6*10,10,60,,
2024-04-09 16:30:00,dips,5*20 + 2*30,30,160,,
2024-04-10 18:30:00,pull_ups,5*10 + 2*15,15,80,,
2024-04-14 14:00:00,dips,5*20 + 2*30,30,160,,
2024-04-15 15:30:00,pull_ups,5*10 + 2*15,15,80,,
2024-04-20 14:30:00,dips,5*20 + 2*30,30,160,,
2024-04-22 23:00:00,pull_ups,5*10 + 2*15,15,80,,
2024-04-24 14:30:00,dips,5*20 + 2*30,30,160,,
2024-04-25 22:00:00,pull_ups,3*10 + 2*15 + 2*10,15,80,"variations, abs",
2024-04-27 22:30:00,dips,5*20 + 2*30,30,160,,
2024-04-29 22:30:00,pull_ups,5*10 + 2*15,15,80,,
2024-04-30 22:30:00,dips,5*20 + 2*30,30,160,,
2024-05-03 22:00:00,pull_ups,5*10 + 2*15,15,80,,
2024-05-07 22:30:00,dips,5*20 + 2*30,30,160,,
2024-05-08 22:00:00,pull_ups,5*10 + 2*15,15,80,,
2024-05-10 22:30:00,dips,5*20 + 2*30,30,160,,
2024-05-12 22:00:00,pull_ups,5*10 + 1*15 + 1*20,20,85,,
2024-05-13 22:30:00,dips,5*20 + 2*30,30,160,,
2024-05-15 16:00:00,pull_ups,5*10 + 2*15 + 1*10,15,90,,
2024-05-17 22:30:00,dips,5*20 + 2*35,35,170,,
2024-05-19 21:30:00,pull_ups,5*10 + 2*17,17,84,,
2024-05-20 22:30:00,dips,5*20 + 2*30,30,160,,
2024-05-22 22:30:00,pull_ups,5*10 + 2*15,15,80,,
2024-05-24 13:00:00,dips,5*20 + 2*30,30,160,,
2024-05-25 22:30:00,pull_ups,5*10 + 2*15,15,80,,
2024-05-27 22:00:00,dips,5*20 + 2*30,30,160,,
2024-05-28 22:30:00,pull_ups,5*10 + 2*15,15,80,,
2024-05-29 22:30:00,dips,5*20 + 2*30,30,160,,
2024-06-02 22:30:00,pull_ups,5*10 + 3*15,15,95,,
2024-06-03 16:30:00,dips,5*20 + 2*35,35,170,,
2024-06-05 20:15:00,pull_ups,5*10 + 3*15,15,95,,
2024-06-07 22:30:00,dips,5*20 + 2*30,30,160,,
2024-06-08 18:00:00,pull_ups,5*10 + 2*15 + 1*10,15,90,,
2024-06-11 20:30:00,dips,5*20 + 3*30,30,190,,
2024-06-12 20:00:00,pull_ups,5*10 + 2*15 + 2*10,15,100,,
2024-06-15 20:30:00,dips,5*20 + 2*30,30,160,,
2024-06-16 22:00:00,pull_ups,5*10 + 2*15,15,80,,
2024-06-18 14:00:00,dips,5*20 + 2*30,30,160,,
2024-06-19 15:30:00,pull_ups,5*10 + 2*15,15,80,,
2024-06-20 20:00:00,dips,5*20 + 2*30,30,160,,
2024-06-23 23:30:00,pull_ups,5*10 + 2*15,15,80,,
2024-06-25 13:30:00,dips,5*20 + 2*35,35,170,,
2024-06-27 22:30:00,pull_ups,5*10 + 3*15,15,95,misc,
2024-06-30 22:30:00,dips,5*20 + 3*30,30,190,,
2024-07-01 13:00:00,pull_ups,5*10 + 3*15,15,95,misc,
2024-07-04 19:30:00,dips,5*20 + 3*30,30,190,,
2024-07-06 22:30:00,pull_ups,5*10 + 2*15,15,80,,
2024-07-08 12:00:00,dips,5*20 + 2*30,30,160,,
2024-07-09 21:30:00,pull_ups,5*10 + 3*15,15,95,,
2024-07-11 21:00:00,dips,5*20 + 4*30,30,220,,
2024-07-13 22:00:00,pull_ups,5*10 + 3*15,15,95,,
2024-07-14 22:30:00,dips,5*20 + 3*30,30,190,,
2024-07-15 22:30:00,pull_ups,6*10 + 2*15,15,90,,
2024-07-17 22:00:00,dips,5*20 + 2*30,30,160,,
2024-07-20 23:00:00,pull_ups,5*10 + 3*15,15,95,,
2024-07-22 22:00:00,dips,5*20 + 2*35,35,170,,
2024-07-23 22:00:00,pull_ups,5*10 + 2*20,20,90,,
2024-07-24 23:30:00,dips,5*20 + 3*30,30,190,stretch abs,
2024-07-25 22:00:00,pull_ups,5*10 + 3*15,15,95,,
2024-08-16 22:00:00,pull_ups,4*5,5,20,,injured left shoulder
2024-08-18 23:30:00,pull_ups,5*10,10,50,,injured left shoulder
2024-08-20 22:30:00,pull_ups,7*10,10,70,,injured left shoulder
2024-08-22 12:30:00,pull_ups,7*10,10,70,,injured left shoulder
2024-08-26 20:00:00,pull_ups,7*10,10,70,,injured left shoulder
2024-08-28 21:00:00,pull_ups,5*10 + 2*12,12,74,,injured left shoulder
2024-08-30 21:00:00,pull_ups,5*10 + 2*15,15,80,,injured left shoulder
2024-09-03 21:00:00,pull_ups,5*10 + 3*15,15,95,,injured left shoulder
2024-09-05 20:00:00,pull_ups,5*10 + 2*15,15,80,,injured left shoulder
2024-09-07 23:00:00,pull_ups,5*10 + 2*15,15,80,,injured left shoulder
2024-09-10 20:00:00,pull_ups,5*10 + 2*15,15,80,,injured left shoulder
2024-09-14 21:00:00,pull_ups,5*10 + 2*15,15,80,,injured left shoulder
2024-09-16 20:30:00,pull_ups,5*10 + 2*15 + 1*10,15,90,,injured left shoulder
2024-09-22 20:00:00,pull_ups,5*10 + 2*15 + 1*10,15,90,,injured left shoulder
2024-09-24 20:00:00,pull_ups,5*10 + 3*15,15,95,,injured left shoulder
2024-09-26 20:00:00,pull_ups,5*10 + 2*15,15,80,,injured left shoulder
2024-09-29 20:00:00,pull_ups,5*10 + 2*15 + 1*10,15,90,,injured left shoulder
2024-10-12 16:00:00,pull_ups,7*10,10,70,abs,injured left shoulder
2024-10-12 16:00:00,push_ups,7*10,10,70,hyperextention,injured left shoulder
2024-10-14 17:00:00,pull_ups,5*10 + 2*15,15,80,abs; light leg workout,injured left shoulder
2024-10-15 17:30:00,push_ups,5*10 + 2*15,15,70,abs; hyperextention,injured left shoulder
2024-10-16 16:30:00,pull_ups,5*10 + 2*15,15,80,abs; light leg workout,injured left shoulder
2024-10-17 21:30:00,push_ups,6*15,15,90,hyperextention,injured left shoulder
2024-10-18 20:00:00,pull_ups,5*10 + 3*15,15,95,abs; light leg workout,injured left shoulder
2024-10-19 21:30:00,push_ups,6*15 + 1*20,20,110,hyperextention,injured left shoulder
2024-10-20 14:30:00,pull_ups,5*10 + 3*15,15,95,abs; calves; t-raises,injured left shoulder
2024-10-21 18:00:00,push_ups,1*15 + 5*20,20,115,light leg workout,injured left shoulder
2024-10-22 19:00:00,pull_ups,5*10 + 2*15,15,80,hyperextention; abs,injured left shoulder
2024-10-23 17:00:00,push_ups,1*15 + 5*20,20,115,light leg workout,injured left shoulder
2024-10-31 21:30:00,pull_ups,5*10 + 2*15,15,80,light leg workout,injured left shoulder
2024-11-12 16:00:00,pull_ups,5*10,10,50,,Viana; injured left shoulder
2024-11-14 23:00:00,pull_ups,5*10,10,50,,injured left shoulder
2024-11-17 23:00:00,pull_ups,6*10,10,60,,injured left shoulder
2024-11-18 22:00:00,push_ups,5*15,15,75,,injured left shoulder
2024-11-19 22:30:00,pull_ups,5*10 + 1*15,15,65,,injured left shoulder
2024-11-21 22:30:00,push_ups,5*15 + 2*20,20,115,,injured left shoulder
2024-11-23 22:30:00,pull_ups,5*10 + 1*15,15,65,,injured left shoulder
2024-11-24 15:30:00,push_ups,5*15 + 2*20,20,115,,injured left shoulder
2024-11-25 22:30:00,pull_ups,5*10 + 1*15,15,65,,injured left shoulder
2024-11-27 23:30:00,push_ups,5*15 + 2*20,20,115,,injured left shoulder
2024-11-28 22:30:00,pull_ups,5*10 + 2*15,15,80,,injured left shoulder
2024-12-02 22:30:00,push_ups,6*20,20,120,,injured left shoulder
2024-12-03 18:00:00,pull_ups,5*10 + 1*20,20,70,,injured left shoulder
2024-12-06 14:00:00,pull_ups,5*10,10,50,,injured left shoulder
2024-12-30 16:00:00,pull_ups,5*10,10,50,,injured left shoulder
2025-01-03 13:00:00,push_ups,6*10,10,60,,injured left shoulder
2025-01-04 15:30:00,pull_ups,6*10,10,60,,injured left shoulder
2025-01-05 13:00:00,push_ups,6*15,15,90,,injured left shoulder
2025-01-06 22:00:00,pull_ups,5*10 + 1*15,15,65,,injured left shoulder
2025-01-09 22:00:00,push_ups,6*15,15,90,,injured left shoulder
2025-01-11 17:00:00,pull_ups,6*10,10,60,,injured left shoulder
2025-01-14 17:00:00,pull_ups,5*10,10,50,,injured left shoulder
2025-01-18 17:00:00,pull_ups,6*10,10,60,,injured left shoulder
2025-01-26 12:00:00,pull_ups,5*10,10,50,,injured left shoulder
2025-01-30 22:00:00,pull_ups,6*10,10,60,,injured left shoulder
2025-02-03 22:00:00,pull_ups,5*10 + 1*15,15,65,,injured left shoulder
2025-02-06 22:00:00,pull_ups,5*10 + 2*15,15,80,,injured left shoulder
2025-02-20 22:30:00,pull_ups,7*10,10,70,,injured left shoulder
2025-02-22 18:30:00,pull_ups,5*10,10,50,,injured left shoulder
2025-02-25 18:30:00,pull_ups,5*10 + 1*15,15,65,,injured left shoulder
2025-02-27 22:00:00,pull_ups,5*10 + 2*15,15,80,,injured left shoulder
2025-03-02 14:00:00,pull_ups,4*10 + 1*20,20,60,,injured left shoulder
2025-03-04 22:00:00,pull_ups,5*10 + 1*15,15,65,,injured left shoulder
2025-03-06 22:30:00,pull_ups,5*10,10,50,,injured left shoulder
2025-03-08 22:30:00,pull_ups,5*10 + 1*18,18,68,,injured left shoulder
2025-03-11 22:30:00,pull_ups,5*10 + 2*15,15,80,,injured left shoulder
2025-03-16 22:30:00,pull_ups,5*10 + 2*15,15,80,,injured left shoulder
2025-03-25 22:00:00,pull_ups,5*10,10,50,,
2025-03-27 22:20:00,pull_ups,6*10,10,60,,
2025-04-01 22:40:00,pull_ups,7*10,10,70,,
2025-04-03 23:00:00,pull_ups,7*10,10,70,,
2025-04-06 23:00:00,pull_ups,7*10,10,70,,
2025-04-09 23:00:00,pull_ups,7*10,10,70,,
2025-04-13 23:30:00,pull_ups,5*10 + 2*15,15,80,,
2025-04-17 22:00:00,pull_ups,5*10 + 2*15,15,80,,
2025-04-19 14:50:00,pull_ups,5*10 + 1*18,18,68,,
2025-04-20 22:30:00,pull_ups,5*10 + 1*17,17,67,,
2025-04-26 23:50:00,pull_ups,5*10 + 2*15,15,80,,
2025-04-29 22:00:00,pull_ups,5*10 + 1*22,22,72,,
2025-05-04 00:30:00,pull_ups,5*10 + 1*15 + 1*17,17,82,,
2025-05-06 23:00:00,pull_ups,5*10 + 2*15,15,80,,
2025-05-11 22:00:00,pull_ups,6*10 + 1*20,20,80,,
2025-05-15 22:10:00,pull_ups,5*10 + 1*15 + 1*20,20,85,,
2025-05-18 22:40:00,pull_ups,5*10 + 2*15,15,80,,
2025-05-20 22:30:00,pull_ups,5*10 + 2*15,15,80,,
2025-05-22 23:00:00,pull_ups,7*10,10,70,misc,
2025-05-25 23:00:00,pull_ups,8*10,10,80,misc,
2025-05-27 23:00:00,pull_ups,8*10,10,80,misc,
2025-05-29 22:30:00,pull_ups,5*10,10,50,,
2025-05-31 23:00:00,pull_ups,5*10 + 2*15,15,80,,
2025-06-03 22:20:00,pull_ups,8*10,10,80,misc,
2025-06-05 23:00:00,pull_ups,7*10,10,70,misc,
2025-06-08 22:20:00,pull_ups,5*10 + 2*15,15,80,,
2025-06-12 22:30:00,pull_ups,5*10 + 2*15,15,80,,
2025-06-15 22:30:00,pull_ups,7*10,10,70,misc,
2025-06-17 22:00:00,pull_ups,6*10,10,60,misc,
2025-06-21 23:20:00,pull_ups,5*10 + 1*25 + 1*10,25,85,misc,
2025-06-24 23:00:00,pull_ups,6*10,10,60,misc,
2025-06-26 00:00:00,pull_ups,7*10,10,70,misc,
2025-07-01 23:50:00,pull_ups,5*10 + 2*15,15,80,,
2025-07-03 23:10:00,pull_ups,6*10,10,60,misc,
2025-07-08 22:30:00,pull_ups,5*10,10,50,,
2025-07-10 23:00:00,pull_ups,9*10,10,90,misc,
2025-07-22 23:00:00,pull_ups,7*10,10,70,misc,
2025-07-24 22:26:08,pull_ups,5*10,10,50,misc,
2025-07-27 22:05:33,pull_ups,5*10 + 2*15,10,80,,
2025-07-29 22:54:17,pull_ups,5*10 + 1*20,20,70,,
2025-07-31 22:46:57,pull_ups,5*10 + 2*15 + 1*10,15,90,,
2025-08-05 22:22:27,pull_ups,5*10 + 1*15,15,65,,
2025-08-07 23:06:32,pull_ups,7*10,10,70,,
2025-08-10 22:26:38,pull_ups,5*10 + 2*15,15,80,,
2025-08-12 22:22:56,pull_ups,5*10 + 3*15,15,95,,
2025-08-14 22:27:56,pull_ups,5*10 + 2*15 + 1*10,15,90,,
2025-08-17 22:26:39,pull_ups,7*10,10,70,,
2025-08-19 22:29:32,pull_ups,5*10 + 2*20,20,90,,
2025-08-21 22:54:44,pull_ups,7*10,10,70,,
2025-08-24 22:20:18,pull_ups,5*10 + 2*20,20,90,,
2025-08-26 22:30:01,pull_ups,5*10 + 3*15,15,95,,
2025-08-28 22:31:38,pull_ups,5*10 + 2*15,15,80,,
2025-08-31 22:17:54,pull_ups,5*10 + 1*15,15,65,,
2025-09-02 22:24:45,pull_ups,5*10 + 2*15,15,80,,
2025-09-04 22:21:09,pull_ups,3*10 + 1*28 + 1*10,28,68,,
2025-09-07 22:16:26,pull_ups,5*10 + 1*15,15,65,,
2025-09-09 22:07:26,pull_ups,5*10 + 1*15,15,65,,
2025-09-11 22:43:40,pull_ups,5*10 + 3*15,15,95,,
2025-09-14 23:00:45,pull_ups,5*10 + 3*15,15,95,,
2025-09-16 22:35:27,pull_ups,5*10 + 2*15,15,80,,
2025-09-18 22:42:08,pull_ups,5*10 + 2*15,15,80,,
2025-09-21 22:34:30,pull_ups,7*10,10,70,misc abs,
2025-09-23 22:52:45,pull_ups,6*10,10,60,misc abs,
2025-09-25 22:50:34,pull_ups,7*10,10,70,misc abs,
2025-09-30 22:17:27,pull_ups,7*10,10,70,misc,
2025-10-02 22:37:34,pull_ups,8*10,10,80,front lever,
2025-10-08 22:12:34,pull_ups,6*10,10,60,front lever,
2025-10-12 22:44:05,pull_ups,5*10,10,50,misc front lever,
2025-10-14 22:32:40,pull_ups,7*10,10,70,"front lever, abs",
2025-10-16 23:07:35,pull_ups,5*10,10,50,front lever abs,
2025-10-19 21:09:17,pull_ups,5*10 + 1*15,15,65,abs front lever,
2025-10-21 22:47:43,pull_ups,5*10 + 1*15,15,65,front lever abs stretch,
2025-10-23 22:34:17,pull_ups,5*10 + 1*15,15,65,abs stretch front lever,
2025-10-26 22:30:44,pull_ups,6*10,10,60,misc front lever,
2025-10-28 21:54:12,pull_ups,5*10,10,50,rain,
2025-11-02 22:55:29,pull_ups,5*10 + 1*15,15,65,front lever,
2025-11-04 22:41:09,pull_ups,5*10 + 1*15,15,65,front lever,